position,entry_time,entry_price,exit_time,exit_price,profit,profit_pct,duration,reason
SHORT,2024-12-05 10:22:00-05:00,26.34000015258789,2024-12-05 11:31:00-05:00,25.190000534057617,1.1499996185302734,4.365981821823515,69.0,Reversal
SHORT,2024-12-05 11:34:00-05:00,25.0664005279541,2024-12-05 11:42:00-05:00,25.229999542236328,-0.16359901428222656,-0.6526625715558187,8.0,Stop Loss
LONG,2024-12-05 11:44:00-05:00,25.35169982910156,2024-12-05 12:53:00-05:00,26.13999938964844,0.7882995605468821,3.1094544581266397,69.0,Reversal
SHORT,2024-12-05 12:56:00-05:00,26.030000686645508,2024-12-05 13:01:00-05:00,26.145000457763672,-0.11499977111816406,-0.44179703451626806,5.0,Reversal
SHORT,2024-12-05 13:13:00-05:00,25.989999771118164,2024-12-05 15:41:00-05:00,25.170499801635746,0.8194999694824183,3.1531357318175193,148.0,Reversal
LONG,2024-12-05 15:44:00-05:00,25.393299102783203,2024-12-05 15:46:00-05:00,25.26000022888184,-0.13329887390136363,-0.5249372023769593,2.0,Stop Loss
LONG,2024-12-05 15:52:00-05:00,25.280000686645508,2024-12-05 15:59:00-05:00,25.420000076293945,0.1399993896484375,0.5537950389471074,7.0,End of Day
LONG,2024-12-06 09:37:00-05:00,26.309499740600582,2024-12-06 09:42:00-05:00,26.15999984741211,-0.149499893188473,-0.5682354079799021,5.0,Stop Loss
LONG,2024-12-06 09:49:00-05:00,26.318500518798828,2024-12-06 09:51:00-05:00,26.13999938964844,-0.17850112915038707,-0.6782344192553332,2.0,Stop Loss
SHORT,2024-12-06 09:52:00-05:00,26.270000457763672,2024-12-06 10:07:00-05:00,25.86000061035156,0.4099998474121129,1.5607150371820573,15.0,Reversal
LONG,2024-12-06 10:08:00-05:00,25.799999237060547,2024-12-06 10:21:00-05:00,25.790000915527344,-0.009998321533203125,-0.038753185383203353,13.0,Reversal
SHORT,2024-12-06 10:22:00-05:00,25.75,2024-12-06 10:24:00-05:00,26.0,-0.25,-0.9708737864077669,2.0,Stop Loss
LONG,2024-12-06 10:26:00-05:00,26.14229965209961,2024-12-06 11:16:00-05:00,26.68000030517578,0.5377006530761719,2.056822315679434,50.0,Reversal
SHORT,2024-12-06 11:20:00-05:00,26.45249938964844,2024-12-06 11:36:00-05:00,26.446399688720703,0.006099700927737928,0.023059072180245097,16.0,Reversal
